headline,url,source,published_at,sentiment_score,sentiment_label,source_type,latitude,longitude,country
Israel’s Netanyahu vows response to Iran after Houthi attack on airport,https://www.aljazeera.com/news/2025/5/4/missile-launched-from-yemen-hits-israels-ben-gurion-airport-in-tel-aviv,,,-0.23835,negative,,32.4279,53.688,Iran
"Israeli forces kill 24 in Gaza, attack rescuers as siege reaches 64 days",https://www.aljazeera.com/news/liveblog/2025/5/5/live-israeli-forces-kill-24-in-gaza-attack-rescuers-as-siege-continues,,,-0.41125,negative,,31.0461,34.8516,Israel
Trump says he will put 100% tariff on all foreign films,https://www.aljazeera.com/news/2025/5/5/trump-says-he-will-put-100-tariff-on-all-foreign-films,,,0.0,neutral,,,,
Putin expresses ‘hope’ that nuclear weapons will not be needed in Ukraine,https://www.aljazeera.com/news/2025/5/4/putin-expresses-hope-that-nuclear-weapons-will-not-be-needed-in-ukraine,,,-0.2202,negative,,,,
"Updates: Israel kills 40, ‘world complicit’ in starvation of Gaza children",https://www.aljazeera.com/news/liveblog/2025/5/4/live-israel-blocks-aid-piling-up-at-gazas-border-as-57-die-of-hunger,,,-0.77115,negative,,31.0461,34.8516,Israel
"The woman braving tigers, crocodiles and pirates in Bangladesh’s mangroves",https://www.aljazeera.com/features/longform/2025/5/4/the-woman-braving-tigers-crocodiles-and-pirates-in-bangladeshs-mangroves,,,0.0,neutral,,21.5126,55.9233,Oman
Trump faces backlash after posting AI image dressed as pope,https://www.aljazeera.com/news/2025/5/4/trump-faces-backlash-after-posting-ai-image-dressed-as-pope,,,-0.5,negative,,,,
Israel calling up tens of thousands of reservists to expand war on Gaza,https://www.aljazeera.com/news/2025/5/4/israel-calls-up-thousands-of-reservists-to-expand-war-on-gaza,,,-0.6909,negative,,31.0461,34.8516,Israel
Are Yemen’s non-Houthi groups seeking US support to attack the Houthis?,https://www.aljazeera.com/features/2025/5/4/are-the-houthis-opponents-in-yemen-seeking-us-support,,,-0.05135,neutral,,15.5527,48.5164,Yemen
Trump says ‘I don’t know’ when asked if he backs US due process rights,https://www.aljazeera.com/news/2025/5/4/trump-says-i-dont-know-when-asked-if-he-backs-us-due-process-rights,,,-0.0258,neutral,,,,
"Turkey can be counterbalance to Iranian, Russian influence with US support",https://www.jpost.com/opinion/article-852619,The Jerusalem Post,2025-05-04T23:31:18Z,0.4019,positive,NewsAPI,32.4279,53.688,Iran
Lesser spotted leopards in peril,https://www.bangkokpost.com/opinion/opinion/3017647/lesser-spotted-leopards-in-peril,Bangkok Post,2025-05-04T21:00:00Z,-0.4019,negative,NewsAPI,,,
Israel renews airstrikes in Syria as sectarian violence flares,https://www.longwarjournal.org/archives/2025/05/israel-renews-airstrikes-in-syria-as-sectarian-violence-flares.php,Longwarjournal.org,2025-05-04T20:46:07Z,-0.6249,negative,NewsAPI,34.8021,38.9968,Syria
Why I Wrote an Expert Report Against the UK Classing Hamas as a Terror Group,https://www.antiwar.com/blog/2025/05/04/why-i-wrote-an-expert-report-against-the-uk-classing-hamas-as-a-terror-group/,Antiwar.com,2025-05-04T20:15:55Z,-0.5267,negative,NewsAPI,,,
