headline,url,source,published_at,sentiment_score,sentiment_label,source_type,latitude,longitude,country,geometry,index_right,featurecla,scalerank,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,TLC,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NAME_CIAWF,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,POP_RANK,POP_YEAR,GDP_MD,GDP_YEAR,ECONOMY,INCOME_GRP,FIPS_10,ISO_A2,ISO_A2_EH,ISO_A3,ISO_A3_EH,ISO_N3,ISO_N3_EH,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_ISO,ADM0_DIFF,ADM0_TLC,ADM0_A3_US,ADM0_A3_FR,ADM0_A3_RU,ADM0_A3_ES,ADM0_A3_CN,ADM0_A3_TW,ADM0_A3_IN,ADM0_A3_NP,ADM0_A3_PK,ADM0_A3_DE,ADM0_A3_GB,ADM0_A3_BR,ADM0_A3_IL,ADM0_A3_PS,ADM0_A3_SA,ADM0_A3_EG,ADM0_A3_MA,ADM0_A3_PT,ADM0_A3_AR,ADM0_A3_JP,ADM0_A3_KO,ADM0_A3_VN,ADM0_A3_TR,ADM0_A3_ID,ADM0_A3_PL,ADM0_A3_GR,ADM0_A3_IT,ADM0_A3_NL,ADM0_A3_SE,ADM0_A3_BD,ADM0_A3_UA,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,MIN_ZOOM,MIN_LABEL,MAX_LABEL,LABEL_X,LABEL_Y,NE_ID,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FA,NAME_FR,NAME_EL,NAME_HE,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_UK,NAME_UR,NAME_VI,NAME_ZH,NAME_ZHT,FCLASS_ISO,TLC_DIFF,FCLASS_TLC,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,country_poly
Israel’s Netanyahu vows response to Iran after Houthi attack on airport,https://www.aljazeera.com/news/2025/5/4/missile-launched-from-yemen-hits-israels-ben-gurion-airport-in-tel-aviv,,,-0.23835,negative,,32.4279,53.688,Iran,POINT (53.688 32.4279),107,Admin-0 country,1,2,Iran,IRN,0,2,Sovereign country,1,Iran,IRN,0,Iran,IRN,0,Iran,IRN,0,Iran,Iran,IRN,Iran,,Iran,IRN,Islamic Republic of Iran,,Iran,,,"Iran, Islamic Rep.",,4,3,4,13,82913906.0,16,2019,453996,2018,5. Emerging region: G20,3. Upper middle income,IR,IR,IR,IRN,IRN,364,364,364,IR,IRN,23424851,23424851,Exact WOE match as country,IRN,,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,-99,-99,Asia,Asia,Southern Asia,Middle East & North Africa,4,4,4,-99,1,0.0,2.5,6.7,54.931495,32.166225,1159320881,Q794,إيران,ইরান,Iran,Iran,Irán,ایران,Iran,Ιράν,איראן,ईरान,Irán,Iran,Iran,イラン,이란,Iran,Iran,Irão,Иран,Iran,İran,Іран,ایران,Iran,伊朗,伊朗,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iran
"Israeli forces kill 24 in Gaza, attack rescuers as siege reaches 64 days",https://www.aljazeera.com/news/liveblog/2025/5/5/live-israeli-forces-kill-24-in-gaza-attack-rescuers-as-siege-continues,,,-0.41125,negative,,31.0461,34.8516,Israel,POINT (34.8516 31.0461),76,Admin-0 country,1,4,Israel,IS1,1,2,Disputed,1,Israel,ISR,0,Israel,ISR,0,Israel,ISR,1,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,Israel,,,Israel,,3,2,5,9,9053300.0,13,2019,394652,2019,2. Developed region: nonG7,1. High income: OECD,-99,IL,IL,ISR,ISR,376,376,376,IL,ISR,23424852,23424852,Exact WOE match as country,ISR,,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1,0.0,3.0,8.0,34.847915,30.911148,1159320895,Q801,إسرائيل,ইসরায়েল,Israel,Israel,Israel,اسرائیل,Israël,Ισραήλ,ישראל,इज़राइल,Izrael,Israel,Israele,イスラエル,이스라엘,Israël,Izrael,Israel,Израиль,Israel,İsrail,Ізраїль,اسرائیل,Israel,以色列,以色列,Admin-0 country,,Admin-0 country,,,,,,,,,Unrecognized,,,,,,Unrecognized,,,,,,,,,,,,,,,Unrecognized,,Israel
"Updates: Israel kills 40, ‘world complicit’ in starvation of Gaza children",https://www.aljazeera.com/news/liveblog/2025/5/4/live-israel-blocks-aid-piling-up-at-gazas-border-as-57-die-of-hunger,,,-0.77115,negative,,31.0461,34.8516,Israel,POINT (34.8516 31.0461),76,Admin-0 country,1,4,Israel,IS1,1,2,Disputed,1,Israel,ISR,0,Israel,ISR,0,Israel,ISR,1,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,Israel,,,Israel,,3,2,5,9,9053300.0,13,2019,394652,2019,2. Developed region: nonG7,1. High income: OECD,-99,IL,IL,ISR,ISR,376,376,376,IL,ISR,23424852,23424852,Exact WOE match as country,ISR,,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1,0.0,3.0,8.0,34.847915,30.911148,1159320895,Q801,إسرائيل,ইসরায়েল,Israel,Israel,Israel,اسرائیل,Israël,Ισραήλ,ישראל,इज़राइल,Izrael,Israel,Israele,イスラエル,이스라엘,Israël,Izrael,Israel,Израиль,Israel,İsrail,Ізраїль,اسرائیل,Israel,以色列,以色列,Admin-0 country,,Admin-0 country,,,,,,,,,Unrecognized,,,,,,Unrecognized,,,,,,,,,,,,,,,Unrecognized,,Israel
"The woman braving tigers, crocodiles and pirates in Bangladesh’s mangroves",https://www.aljazeera.com/features/longform/2025/5/4/the-woman-braving-tigers-crocodiles-and-pirates-in-bangladeshs-mangroves,,,0.0,neutral,,21.5126,55.9233,Oman,POINT (55.9233 21.5126),88,Admin-0 country,1,4,Oman,OMN,0,2,Sovereign country,1,Oman,OMN,0,Oman,OMN,0,Oman,OMN,0,Oman,Oman,OMN,Oman,,Oman,OM,Sultanate of Oman,,Oman,,,Oman,,1,4,1,6,4974986.0,12,2019,76331,2019,6. Developing region,2. High income: nonOECD,MU,OM,OM,OMN,OMN,512,512,512,OM,OMN,23424898,23424898,Exact WOE match as country,OMN,,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,OMN,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,4,4,4,-99,1,0.0,4.0,9.0,57.336553,22.120427,1159321151,Q842,سلطنة عمان,ওমান,Oman,Oman,Omán,عمان,Oman,Ομάν,עומאן,ओमान,Omán,Oman,Oman,オマーン,오만,Oman,Oman,Omã,Оман,Oman,Umman,Оман,عمان,Oman,阿曼,阿曼,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oman
Israel calling up tens of thousands of reservists to expand war on Gaza,https://www.aljazeera.com/news/2025/5/4/israel-calls-up-thousands-of-reservists-to-expand-war-on-gaza,,,-0.6909,negative,,31.0461,34.8516,Israel,POINT (34.8516 31.0461),76,Admin-0 country,1,4,Israel,IS1,1,2,Disputed,1,Israel,ISR,0,Israel,ISR,0,Israel,ISR,1,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,Israel,,,Israel,,3,2,5,9,9053300.0,13,2019,394652,2019,2. Developed region: nonG7,1. High income: OECD,-99,IL,IL,ISR,ISR,376,376,376,IL,ISR,23424852,23424852,Exact WOE match as country,ISR,,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1,0.0,3.0,8.0,34.847915,30.911148,1159320895,Q801,إسرائيل,ইসরায়েল,Israel,Israel,Israel,اسرائیل,Israël,Ισραήλ,ישראל,इज़राइल,Izrael,Israel,Israele,イスラエル,이스라엘,Israël,Izrael,Israel,Израиль,Israel,İsrail,Ізраїль,اسرائیل,Israel,以色列,以色列,Admin-0 country,,Admin-0 country,,,,,,,,,Unrecognized,,,,,,Unrecognized,,,,,,,,,,,,,,,Unrecognized,,Israel
Are Yemen’s non-Houthi groups seeking US support to attack the Houthis?,https://www.aljazeera.com/features/2025/5/4/are-the-houthis-opponents-in-yemen-seeking-us-support,,,-0.05135,neutral,,15.5527,48.5164,Yemen,POINT (48.5164 15.5527),157,Admin-0 country,1,3,Yemen,YEM,0,2,Sovereign country,1,Yemen,YEM,0,Yemen,YEM,0,Yemen,YEM,0,Yemen,Yemen,YEM,Yemen,,Yem.,YE,Republic of Yemen,,Yemen,,,"Yemen, Rep.",,5,3,3,11,29161922.0,15,2019,22581,2019,7. Least developed region,4. Lower middle income,YM,YE,YE,YEM,YEM,887,887,887,RY,YEM,23425002,23425002,Exact WOE match as country,YEM,,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,YEM,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,5,5,4,-99,1,0.0,3.0,8.0,45.874383,15.328226,1159321425,Q805,اليمن,ইয়েমেন,Jemen,Yemen,Yemen,یمن,Yémen,Υεμένη,תימן,यमन,Jemen,Yaman,Yemen,イエメン,예멘,Jemen,Jemen,Iémen,Йемен,Jemen,Yemen,Ємен,یمن,Yemen,也门,葉門,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yemen
"Turkey can be counterbalance to Iranian, Russian influence with US support",https://www.jpost.com/opinion/article-852619,The Jerusalem Post,2025-05-04T23:31:18Z,0.4019,positive,NewsAPI,32.4279,53.688,Iran,POINT (53.688 32.4279),107,Admin-0 country,1,2,Iran,IRN,0,2,Sovereign country,1,Iran,IRN,0,Iran,IRN,0,Iran,IRN,0,Iran,Iran,IRN,Iran,,Iran,IRN,Islamic Republic of Iran,,Iran,,,"Iran, Islamic Rep.",,4,3,4,13,82913906.0,16,2019,453996,2018,5. Emerging region: G20,3. Upper middle income,IR,IR,IR,IRN,IRN,364,364,364,IR,IRN,23424851,23424851,Exact WOE match as country,IRN,,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,IRN,-99,-99,Asia,Asia,Southern Asia,Middle East & North Africa,4,4,4,-99,1,0.0,2.5,6.7,54.931495,32.166225,1159320881,Q794,إيران,ইরান,Iran,Iran,Irán,ایران,Iran,Ιράν,איראן,ईरान,Irán,Iran,Iran,イラン,이란,Iran,Iran,Irão,Иран,Iran,İran,Іран,ایران,Iran,伊朗,伊朗,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iran
Israel renews airstrikes in Syria as sectarian violence flares,https://www.longwarjournal.org/archives/2025/05/israel-renews-airstrikes-in-syria-as-sectarian-violence-flares.php,Longwarjournal.org,2025-05-04T20:46:07Z,-0.6249,negative,NewsAPI,34.8021,38.9968,Syria,POINT (38.9968 34.8021),108,Admin-0 country,1,3,Syria,SYR,0,2,Sovereign country,1,Syria,SYR,0,Syria,SYR,0,Syria,SYR,0,Syria,Syria,SYR,Syria,,Syria,SYR,Syrian Arab Republic,,Syria,,,Syrian Arab Republic,,2,6,2,6,17070135.0,14,2019,98830,2015,6. Developing region,4. Lower middle income,SY,SY,SY,SYR,SYR,760,760,760,SY,SYR,23424956,23424956,Exact WOE match as country,SYR,,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,SYR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,5,5,5,-99,1,0.0,3.0,8.0,38.277783,35.006636,1159321295,Q858,سوريا,সিরিয়া,Syrien,Syria,Siria,سوریه,Syrie,Συρία,סוריה,सीरिया,Szíria,Suriah,Siria,シリア,시리아,Syrië,Syria,Síria,Сирия,Syrien,Suriye,Сирія,سوریہ,Syria,叙利亚,敘利亞,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Syria
Israeli airport hit by Houthi missile: Live Updates,https://www.rt.com/news/616721-israel-houthi-missile-airport/,RT,2025-05-04T08:59:55Z,0.0,neutral,NewsAPI,31.0461,34.8516,Israel,POINT (34.8516 31.0461),76,Admin-0 country,1,4,Israel,IS1,1,2,Disputed,1,Israel,ISR,0,Israel,ISR,0,Israel,ISR,1,Israel,Israel,ISR,Israel,,Isr.,IS,State of Israel,,Israel,,,Israel,,3,2,5,9,9053300.0,13,2019,394652,2019,2. Developed region: nonG7,1. High income: OECD,-99,IL,IL,ISR,ISR,376,376,376,IL,ISR,23424852,23424852,Exact WOE match as country,ISR,,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,PSX,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,ISR,PSX,ISR,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,6,6,4,-99,1,0.0,3.0,8.0,34.847915,30.911148,1159320895,Q801,إسرائيل,ইসরায়েল,Israel,Israel,Israel,اسرائیل,Israël,Ισραήλ,ישראל,इज़राइल,Izrael,Israel,Israele,イスラエル,이스라엘,Israël,Izrael,Israel,Израиль,Israel,İsrail,Ізраїль,اسرائیل,Israel,以色列,以色列,Admin-0 country,,Admin-0 country,,,,,,,,,Unrecognized,,,,,,Unrecognized,,,,,,,,,,,,,,,Unrecognized,,Israel
Valtonen: Timing crucial in recognition of Palestine,https://yle.fi/a/74-20159569,YLE News,2025-05-04T08:53:04Z,0.0,neutral,NewsAPI,31.9522,35.2332,Palestine,POINT (35.2332 31.9522),79,Admin-0 country,1,5,Israel,IS1,1,2,Indeterminate,1,Palestine,PSX,0,Palestine,PSX,0,Palestine,PSX,0,Palestine,Palestine,PSX,Palestine,,Pal.,PAL,West Bank and Gaza,,,,Partial self-admin.,Palestine (West Bank and Gaza),,3,2,5,8,4685306.0,12,2019,16276,2018,6. Developing region,4. Lower middle income,-99,PS,PS,PSE,PSE,275,275,275,GZ,WBG,28289408,28289408,Exact WOE match as country,PSX,,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,PSX,-99,-99,Asia,Asia,Western Asia,Middle East & North Africa,9,9,4,-99,-99,7.0,4.5,9.5,35.291341,32.047431,1159320899,Q23792,فلسطين,ফিলিস্তিন অঞ্চল,Palästina,Palestine,Palestina,فلسطین,Palestine,Παλαιστίνη,ארץ ישראל,फ़िलिस्तीनी राज्यक्षेत्र,Palesztina,Palestina,Palestina,パレスチナ,팔레스타인,Palestina,Palestyna,Palestina,Палестина,Palestina,Filistin,Палестина,فلسطین,Palestine,巴勒斯坦,巴勒斯坦地區,Admin-0 dependency,,Admin-0 dependency,,,,,,,,,Admin-0 country,,,,,Admin-0 country,Admin-0 country,,,,,,,,,,,,,,,Admin-0 country,,Palestine
